message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.597708715";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.586007377";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.582203370";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.570562564";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.570551321";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.565700639";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.554921631";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.553950154";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.550089391";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.538327303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.538321623";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.533510338";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.522632293";"./src/turtle.cpp:update:260"
